motor_kw,motor_hp,for_drive_refs,filter_current_in_a,filter_current_out_a,quantity_per_drive,filter_reference,supply,thdi_note,source_pdf,source_page
4.0,5.0,ATV630U40N4|ATV650U40N4|ATV650U40N4E,10.0,10.4,1,VW3A46159,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
5.5,7.5,ATV630U55N4|ATV650U55N4|ATV650U55N4E,14.0,14.5,1,VW3A46160,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
7.5,10.0,ATV630U75N4|ATV650U75N4|ATV650U75N4E,14.0,14.5,1,VW3A46160,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
11.0,15.0,ATV630D11N4|ATV650D11N4|ATV650D11N4E,19.0,19.5,1,VW3A46161,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
15.0,20.0,ATV630D15N4|ATV650D15N4|ATV650D15N4E,25.0,26.0,1,VW3A46162,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
18.5,25.0,ATV630D18N4|ATV650D18N4|ATV650D18N4E,31.0,32.0,1,VW3A46163,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
22.0,30.0,ATV630D22N4|ATV650D22N4|ATV650D22N4E,36.0,37.0,1,VW3A46164,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
30.0,40.0,ATV630D30N4|ATV650D30N4|ATV650D30N4E,48.0,50.0,1,VW3A46165,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
37.0,50.0,ATV630D37N4|ATV650D37N4|ATV650D37N4E,60.0,62.0,1,VW3A46166,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
45.0,60.0,ATV630D45N4|ATV650D45N4|ATV650D45N4E,73.0,76.0,1,VW3A46167,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
55.0,75.0,ATV630D55N4|ATV650D55N4|ATV650D55N4E,95.0,99.0,1,VW3A46168,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
75.0,100.0,ATV630D75N4|ATV650D75N4|ATV650D75N4E,118.0,122.0,1,VW3A46169,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
90.0,125.0,ATV630D90N4|ATV650D90N4|ATV650D90N4E,154.0,160.0,1,VW3A46170,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
110.0,150.0,ATV630C11N4,183.0,190.0,1,VW3A46171,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
132.0,200.0,ATV630C13N4,231.0,240.0,1,VW3A46172,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
160.0,250.0,ATV630C16N4,291.0,316.0,1,VW3A46173,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
220.0,350.0,ATV630C22N4,355.0,369.0,1,VW3A46174,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
250.0,400.0,ATV630C25N4,436.0,450.0,1,VW3A46176,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
315.0,500.0,ATV630C31N4,231.0,240.0,2,VW3A46172,460 V 60 Hz,<5%,Catalog Altivar Process ATV600 variable speed drives.pdf,55
