family,supply_v,mounting,duty,kw,hp,reference,line_current_a,line_current_b,max_continuous_a,max_transient_60s_a,has_dc_choke,emc_note,ip_note,variant_rank,is_default_variant,source_pdf,source_page
ATV650,380-480 V,wall,ND,45,60,ATV650D45N4,79.8,69.1,88,96.8,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,37,50,ATV650D45N4,67.1,59,74.5,111.8,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,55,75,ATV650D55N4,97.2,84.2,106,116.6,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,45,60,ATV650D55N4,81.4,71.8,88,132,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,75,100,ATV650D75N4,131.3,112.7,145,159.5,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,55,75,ATV650D75N4,98.9,86.9,106,159,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,90,125,ATV650D90N4,156.2,135.8,173,190.3,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,HD,75,100,ATV650D90N4,134.3,118.1,145,217.5,TRUE,C2,IP55,10,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,27
ATV650,380-480 V,wall,ND,0.75,1,ATV650U07N4E,1.5,1.3,2.2,2.4,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,0.37,0.5,ATV650U07N4E,0.9,0.8,1.5,2.3,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,1.5,2,ATV650U15N4E,3,2.6,4,4.4,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,0.75,1,ATV650U15N4E,1.7,1.5,2.2,3.3,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,2.2,3,ATV650U22N4E,4.3,3.8,5.6,6.2,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,1.5,2,ATV650U22N4E,3.1,2.9,4,6,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,3,,ATV650U30N4E,5.8,5.1,7.2,7.9,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,HD,2.2,3,ATV650U30N4E,4.5,4,5.6,8.4,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
ATV650,380-480 V,wall,ND,4,5,ATV650U40N4E,7.6,6.7,9.3,10.2,TRUE,C2,IP55,20,FALSE,Catalog Altivar Process ATV600 variable speed drives.pdf,28
